assetName, assetId, routeId, ganttId, currentLocationId, nextLocationId, activityType, activityStartDateTime, activityEndDateTime, distance, cumulativeDistance, activityTime, cumulativeTime, activityCost, cumulativeCost, loadUnloadQty, loadUnloadWeight, loadUnloadCubic, loadUnloadShipmentCount, totalQtyOnAsset, totalWeightOnAsset, totalCubicOnAsset, totalShipmentCountOnAsset, remainingQtyCapacity, remainingWeightCapacity, remainingCubicCapacity, startLocationLatitude, startLocationLongitude, endLocationLatitude, endLocationLongitude, startDateTimeLocal, endDateTimeLocal
"Truck","000001","000001","1","DC_1","DC_1","EquipmentStart",02/05/2016 06:29,02/05/2016 06:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,49.20,16.61,49.20,16.61,02/05/2016 06:29,02/05/2016 06:29
"Truck","000001","000001","3","DC_1","DC_1","Load",02/05/2016 06:29,02/05/2016 06:29,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,0.00,5,437.00,0.00,0.00,5,563.00,9999.00,9999.00,49.20,16.61,49.20,16.61,02/05/2016 06:29,02/05/2016 06:29
"Truck","000001","000001","4","DC_1","cz_7","Travel",02/05/2016 06:29,02/05/2016 09:56,189.70,189.70,206.94,206.94,227.64,227.64,0.00,0.00,0.00,0,437.00,0.00,0.00,0,563.00,9999.00,9999.00,49.20,16.61,47.50,19.04,02/05/2016 06:29,02/05/2016 09:56
"Truck","000001","000001","5","cz_7","cz_7","Unload",02/05/2016 09:56,02/05/2016 09:56,0.00,189.70,0.00,206.94,35.00,262.64,87.00,0.00,0.00,1,350.00,0.00,0.00,4,650.00,9999.00,9999.00,47.50,19.04,47.50,19.04,02/05/2016 09:56,02/05/2016 09:56
"Truck","000001","000001","6","cz_7","cz_8","Travel",02/05/2016 09:56,02/05/2016 14:29,250.30,440.00,273.06,480.00,300.36,563.00,0.00,0.00,0.00,0,350.00,0.00,0.00,0,650.00,9999.00,9999.00,47.50,19.04,52.23,21.01,02/05/2016 09:56,02/05/2016 14:29
"Truck","000001","000001","7","cz_7","cz_8","LongBreak",02/05/2016 14:29,02/05/2016 14:29,0.00,440.00,0.00,480.00,0.00,563.00,0.00,0.00,0.00,0,350.00,0.00,0.00,0,650.00,9999.00,9999.00,47.50,19.04,52.23,21.01,02/05/2016 14:29,02/05/2016 14:29
"Truck","000001","000001","8","cz_7","cz_8","Travel",02/05/2016 14:29,02/05/2016 17:09,146.16,586.16,159.44,639.44,175.39,738.39,0.00,0.00,0.00,0,350.00,0.00,0.00,0,650.00,9999.00,9999.00,47.50,19.04,52.23,21.01,02/05/2016 14:29,02/05/2016 17:09
"Truck","000001","000001","9","cz_8","cz_8","Unload",02/05/2016 17:09,02/05/2016 17:09,0.00,586.16,0.00,639.44,35.00,773.39,183.00,0.00,0.00,2,167.00,0.00,0.00,2,833.00,9999.00,9999.00,52.23,21.01,52.23,21.01,02/05/2016 17:09,02/05/2016 17:09
"Truck","000001","000001","10","cz_8","cz_2","Travel",02/05/2016 17:09,02/05/2016 22:29,293.84,880.00,320.56,960.00,352.61,1126.00,0.00,0.00,0.00,0,167.00,0.00,0.00,0,833.00,9999.00,9999.00,52.23,21.01,52.52,13.40,02/05/2016 17:09,02/05/2016 22:29
"Truck","000001","000001","11","cz_8","cz_2","LongBreak",02/05/2016 22:29,02/05/2016 22:29,0.00,880.00,0.00,960.00,0.00,1126.00,0.00,0.00,0.00,0,167.00,0.00,0.00,0,833.00,9999.00,9999.00,52.23,21.01,52.52,13.40,02/05/2016 22:29,02/05/2016 22:29
"Truck","000001","000001","12","cz_8","cz_2","Travel",02/05/2016 22:29,02/06/2016 00:00,82.55,962.55,90.05,1050.05,99.06,1225.06,0.00,0.00,0.00,0,167.00,0.00,0.00,0,833.00,9999.00,9999.00,52.23,21.01,52.52,13.40,02/05/2016 22:29,02/06/2016 00:00
"Truck","000001","000001","13","cz_2","cz_2","Unload",02/06/2016 00:00,02/06/2016 00:00,0.00,962.55,0.00,1050.05,35.00,1260.06,167.00,0.00,0.00,2,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,52.52,13.40,52.52,13.40,02/06/2016 00:00,02/06/2016 00:00
"Truck","000001","000001","14","cz_2","cz_2","EquipmentEnd",02/06/2016 00:00,02/06/2016 00:00,0.00,962.55,0.00,1050.05,0.00,1260.06,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,52.52,13.40,52.52,13.40,02/06/2016 00:00,02/06/2016 00:00
"Truck","000002","000002","1","DC_1","DC_1","EquipmentStart",03/30/2016 18:16,03/30/2016 18:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,49.20,16.61,49.20,16.61,03/30/2016 18:16,03/30/2016 18:16
"Truck","000002","000002","3","DC_1","DC_1","Load",03/30/2016 18:16,03/30/2016 18:16,0.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,0.00,3,287.00,0.00,0.00,3,713.00,9999.00,9999.00,49.20,16.61,49.20,16.61,03/30/2016 18:16,03/30/2016 18:16
"Truck","000002","000002","4","DC_1","cz_2","Travel",03/30/2016 18:16,03/31/2016 00:00,314.82,314.82,343.44,343.44,377.78,377.78,0.00,0.00,0.00,0,287.00,0.00,0.00,0,713.00,9999.00,9999.00,49.20,16.61,52.52,13.40,03/30/2016 18:16,03/31/2016 00:00
"Truck","000002","000002","5","cz_2","cz_2","Unload",03/31/2016 00:00,03/31/2016 00:00,0.00,314.82,0.00,343.44,35.00,412.78,193.00,0.00,0.00,2,94.00,0.00,0.00,1,906.00,9999.00,9999.00,52.52,13.40,52.52,13.40,03/31/2016 00:00,03/31/2016 00:00
"Truck","000002","000002","6","cz_2","cz_8","Travel",03/31/2016 00:00,03/31/2016 02:16,125.18,440.00,136.56,480.00,150.22,563.00,0.00,0.00,0.00,0,94.00,0.00,0.00,0,906.00,9999.00,9999.00,52.52,13.40,52.23,21.01,03/31/2016 00:00,03/31/2016 02:16
"Truck","000002","000002","7","cz_2","cz_8","LongBreak",03/31/2016 02:16,03/31/2016 02:16,0.00,440.00,0.00,480.00,0.00,563.00,0.00,0.00,0.00,0,94.00,0.00,0.00,0,906.00,9999.00,9999.00,52.52,13.40,52.23,21.01,03/31/2016 02:16,03/31/2016 02:16
"Truck","000002","000002","8","cz_2","cz_8","Travel",03/31/2016 02:16,03/31/2016 06:50,251.21,691.21,274.05,754.05,301.45,864.45,0.00,0.00,0.00,0,94.00,0.00,0.00,0,906.00,9999.00,9999.00,52.52,13.40,52.23,21.01,03/31/2016 02:16,03/31/2016 06:50
"Truck","000002","000002","9","cz_8","cz_8","Unload",03/31/2016 06:50,03/31/2016 06:50,0.00,691.21,0.00,754.05,35.00,899.45,94.00,0.00,0.00,1,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,52.23,21.01,52.23,21.01,03/31/2016 06:50,03/31/2016 06:50
"Truck","000002","000002","10","cz_8","cz_8","EquipmentEnd",03/31/2016 06:50,03/31/2016 06:50,0.00,691.21,0.00,754.05,0.00,899.45,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,52.23,21.01,52.23,21.01,03/31/2016 06:50,03/31/2016 06:50
"Truck","000003","000003","1","DC_1","DC_1","EquipmentStart",03/22/2016 20:33,03/22/2016 20:33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1000.00,9999.00,9999.00,49.20,16.61,49.20,16.61,03/22/2016 20:33,03/22/2016 20:33
